Opponent_Team,[' vs_RCB', ' vs_CSK', ' vs_KXIP', ' vs_RR', ' vs_DD', ' vs_MI', ' vs_DC', ' vs_KTK', ' vs_PW', ' vs_SRH', ' vs_RPS', ' vs_GL']
Matches_Played,[18, 16, 19, 15, 17, 18, 9, 2, 5, 9, 2, 2]
Loss,[9, 10, 6, 9, 7, 13, 2, 2, 1, 3, 0, 2]
Win,[9, 6, 13, 6, 10, 5, 7, 0, 4, 6, 2, 0]
Tie,[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
